review,rating,clean_review,sentiment
koq tiba2 skrng HP sy tidak suport sih sm accesskai,5,koq tiba skrng hp sy suport sih sm accesskai,positive
"aplikasi ini sangat bagus, sangat membantu dalam layanan pemesanan ticket",5,aplikasi sangat bagus sangat bantu layan mesan ticket,positive
"KAI TOLONG PERBAIKI SISTEM CIKARANG - BEKASI DAN SEBALIKNYA,KRL TERLALU KEBANYAKAN NAHAN TERLALU LAMA",1,kai baik sistem cikarang bekas sebaliknyakrl terlalu banyak nahan terlalu lama,negative
"aplikasi bapuk, pas mau berangkat eh ada gangguan aplikasinya, bukan sinyal.",2,aplikasi bapuk pas mau berangkat eh ganggu aplikasi bukan sinyal,negative
"Ko bisa tetiba ilang akun gw pas buka hrs bikin akun baru mksd ny apa.. ?? barusan gw beli tiket 3 bayar qris saldo rek udah kepotong 3x tp tiket yg ad cm 1 yg 2 g d tiket ny, tolong d apk adain reschadule buat tiket lokal, aduan konsumen buat komplain biar bs lgsg refund klo ad kendala di tiket klian yg eror kita yg rugi, apk buatan pemerintah payah",1,ko tetiba ilang akun gw pas buka hrs bikin akun baru mksd ny apa barusan gw beli tiket bayar qris saldo rek udah potong x tp tiket yg ad cm yg g d tiket ny d apk adain reschadule buat tiket lokal adu konsumen buat komplain biar bs lgsg refund klo ad kendala tiket klian yg eror yg rugi apk buat perintah payah,negative
stasiun comal belum bisa di pesan lewat apk ini,1,stasiun comal bisa pesan lewat apk,negative
bagus,5,bagus,positive
kereta sri tanjung kurang nyaman terlalu tegap duduknya cepet capek,3,kereta sri tanjung kurang nyaman terlalu tegap duduk cepet capek,neutral
yang dari stasiun pelabuhan kok belum bisa diakses ya,5,dari stasiun labuh kok bisa akses,positive
"aplikasinya sering eror. mohon lebih ditingkatkan. gak jelas sekali. sangat merugikan. war tiket dibelain tengah malam bangun. sering ngebug ,,eh pas Sukses tuh tiket gak terbit. sekarang dibilang transaksi time out.. merugikan sekaliiii..mengecewakan.",1,aplikasi sering eror mohon lebih tingkat gak jelas sekali sangat rugi war tiket bain tengah malam bangun sering ngebug eh pas sukses tuh tiket gak terbit sekarang bilang transaksi time out rugi sekaliiiimengecewakan,negative
Awalnya buka aplikasi cepet.. begitu upgrade lah malah muter2.. padahal OTP udah sesuai..,1,awal buka aplikasi cepet upgrade lah malah muter padahal otp udah sesuai,negative
"kalau hari biasa dari stasiun KERTOSONO kenapa gak berhenti ya di stasiun Pemalang? begitu sebaliknya,harus dari stasiun Pekalongan .kecuali lebaran ada kereta tambahan baru bisa.",2,kalau hari biasa stasiun kertosono gak henti di stasiun malang sebaliknyaharus stasiun kalong lebaran kereta tambah baru,negative
"aplikasi gabisa dipake,menyusahkan ! ,error terus",1,aplikasi gabisa dipakemenyusahkan error terus,negative
"jadwalnya kadang ada kadang hilang, sampah",1,jadwal kadang kadang hilang sampah,negative
aplikasi overal udah bagus tapi mohon untuk bisa compatibel di lebih banyak tipe android nya hehe ini saya android 7 ga bisa download,4,aplikasi overal udah bagus mohon compatibel lebih banyak tipe android nya hehe saya android ga bisa download,positive
"gabisa log in ! sekalinya bisa lemot parah error terus ,tolong diperbaiki lagi jangan mempersulit harusnya kan memudahkan",1,gabisa log in sekali lot parah error terus baik jangan sulit harus kan mudah,negative
ok,5,,positive
perangkat sy tidak kompatibel ini gimana versi aplikasinya mau update ga bisa karana tida kompatibel,1,perangkat sy kompatibel gimana versi aplikasi mau update ga karana tida kompatibel,negative
tidak bisa di download udah di update di berishkn ttp tidak bisa,1,bisa download udah update berishkn ttp bisa,negative
"aplikasinya susah untuk memesan tiket kereta lokal,bila mau pesan harus upgrade akun tapi ketika mau proses upgrade selalu gagal ketika otp dimasukkan,menyusahkan sekali ingin pesan tiket dipersulit,",2,aplikasi susah mes tiket kereta lokalbila mau pesan upgrade akun mau proses upgrade selalu gagal ketika otp dimasukkanmenyusahkan sekali pesan tiket sulit,negative
sering gak ke bagian tiket tolong donk kai tambah lagi kereta buat ke kertapati lampung,5,sering gak bagi tiket donk kai tambah kereta buat kertapati lampung,positive
Udah 2 jam perjalanan tetapi tidak bisa memesan makanan.,2,udah jam jalan tidak mes makan,negative
