review,rating
koq tiba2 skrng HP sy tidak suport sih sm accesskai,5
"aplikasi ini sangat bagus, sangat membantu dalam layanan pemesanan ticket",5
"KAI TOLONG PERBAIKI SISTEM CIKARANG - BEKASI DAN SEBALIKNYA,KRL TERLALU KEBANYAKAN NAHAN TERLALU LAMA",1
"aplikasi bapuk, pas mau berangkat eh ada gangguan aplikasinya, bukan sinyal.",2
"Ko bisa tetiba ilang akun gw pas buka hrs bikin akun baru mksd ny apa.. ?? barusan gw beli tiket 3 bayar qris saldo rek udah kepotong 3x tp tiket yg ad cm 1 yg 2 g d tiket ny, tolong d apk adain reschadule buat tiket lokal, aduan konsumen buat komplain biar bs lgsg refund klo ad kendala di tiket klian yg eror kita yg rugi, apk buatan pemerintah payah",1
stasiun comal belum bisa di pesan lewat apk ini,1
bagus,5
kereta sri tanjung kurang nyaman terlalu tegap duduknya cepet capek,3
yang dari stasiun pelabuhan kok belum bisa diakses ya,5
"aplikasinya sering eror. mohon lebih ditingkatkan. gak jelas sekali. sangat merugikan. war tiket dibelain tengah malam bangun. sering ngebug ,,eh pas Sukses tuh tiket gak terbit. sekarang dibilang transaksi time out.. merugikan sekaliiii..mengecewakan.",1
Awalnya buka aplikasi cepet.. begitu upgrade lah malah muter2.. padahal OTP udah sesuai..,1
"kalau hari biasa dari stasiun KERTOSONO kenapa gak berhenti ya di stasiun Pemalang? begitu sebaliknya,harus dari stasiun Pekalongan .kecuali lebaran ada kereta tambahan baru bisa.",2
"aplikasi gabisa dipake,menyusahkan ! ,error terus",1
"jadwalnya kadang ada kadang hilang, sampah",1
aplikasi overal udah bagus tapi mohon untuk bisa compatibel di lebih banyak tipe android nya hehe ini saya android 7 ga bisa download,4
"gabisa log in ! sekalinya bisa lemot parah error terus ,tolong diperbaiki lagi jangan mempersulit harusnya kan memudahkan",1
ok,5
perangkat sy tidak kompatibel ini gimana versi aplikasinya mau update ga bisa karana tida kompatibel,1
tidak bisa di download udah di update di berishkn ttp tidak bisa,1
"aplikasinya susah untuk memesan tiket kereta lokal,bila mau pesan harus upgrade akun tapi ketika mau proses upgrade selalu gagal ketika otp dimasukkan,menyusahkan sekali ingin pesan tiket dipersulit,",2
sering gak ke bagian tiket tolong donk kai tambah lagi kereta buat ke kertapati lampung,5
Udah 2 jam perjalanan tetapi tidak bisa memesan makanan.,2
"ga bisa menambakan yiket yg dari travrloka, gimana nih",4
mantab,5
"Awalnya saya beri bintang 5 sekarang saya turunkan, sering eror di saat pembayaran,pembayaran tiket ka lokal lebih banyak dong pemilihan pembayarannya, jangan cuma link aja,ovo dan qris. sudah dibayar tapi kode tiket belum aktif dan akhirnya gagal,uang hangus dan pembatalan menunggu sampai 2 minggu juga tidak masuk ke saldo. Ayo perbaiki sistemnya perbanyak pilihan pembayaran di tiket ka lokal. Jangan sering eror. Thnks",4
"kenapa gak bisa login woi, ngeliat jadwal aja gak bisa kenapa Access ini dah lah. hayolah kenapa ini.....",1
"kenapa ya beli tiket udah ada transaksi nya di dana , tapi pas di cek di Kai access gaada tiketnya dan di cek gaada riwayat transaksi nya juga",2
lemottty,1
"kalau mau scrol tanggal dibawah 25 gak bisa, susah. jd gak pernah beli tiket diatas tgl 25",3
aplikasi lelet,1
"server sering eror, tapi pas ditinggal bentar dan kembali lagi saat sudah tidak eror tiket sudah habis, sudah email ke alamat pengaduan tapi tidak direspon",2
"Jujur, kecewa banget udh beberapa kali pemesanan tiket ga muncul trs saldo jadi berkurang refund ga ada. Nanya ke cs malah suruh nunggu 1 jam terus wkwk",1
lebih cepat prlayanannya,5
"Kenapa pesen tiket gk bisa terus ya, udh tinggal pembayaran malah eror, knp eror terus sii padahal sinyal bagus, tolong lebih ditingkatkan lagi dong biar oesen tiket lebih mudah.",1
mantap lah,5
"eror terus, giliran d chat d WA responya lama banget.",1
"kurang bngt ni app, qris ga muncul diliat dri proses menunggu pembayaran jga gaada nunggu waktu hbs. Ngebugg nya parahhh",2
sangat membantu untuk perjalanan,5
Bagus Bagus,5
Baik,5
mantap,5
tolong banget di benerin aplikasinya kayak tahun 2025 atau sebelum lebaran 2026 🙏🙏🙏🙏,1
memuaskan.,5
bagus,5
"gjls gbisa daftar trs udh ada ketentuannya maksimal pesan satu sampe acara saya harus diundur trs sampe sore, dr jam 11 sampe jam set 2 gbisa udh ganti kereta gt trs cs jg g membantu disuruh nunggu trs",1
saya mengalami erorr saat pembayaran.saldo berkurang namun tiket di aplikasi belum terbayar. padhal masih ada waktu masa pembayaran. namun hal yang bikin jengkel lagi pelayanannya cs yang lambat dan tidak gerak cepat. mohon ditingkatkan lagi. terimakasih,1
"aplikasi nya skrg malah amburadul gk kyk 2-3 thn yg lalu pesen tiket lbh mudah gak lelet kyk skrg, tampilan nya aja keren dalem nya busuk...... mau pesen tiket buat seminggu ke dpn sm kluarga udah dibelain utak utek dr jam 00.01 biar bs dpt tiket hasil nya nihil server lemot skrg skali online hrs order.... lha kita kan hrs dftar penumpang nya dl klo blm didaftarin ktika udh tinggal order malah ada warning ""cannot booking more than one at same schedule route""pdhl dulu gk kyk gini,jd btl pergi",1
"mohon bantuan perbaikan dalam server karena benar"" tidak sejalan, sudah pesan dengan menunggu waktu open persis tengah malam sudah mau bayar malah sistem dalam aplikasi down parah sehingga tiket hilang, kejadian lagi serupa sudah bayar pakai ovo malah tiket dalam aplikasi tidak terbayar ovo tetap terpotong.",1
"mau bayar tiket yg tertunda pembayarannya aja ribet banget,di cancel mau pesen ulang malah ga bisa🤦‍♂️",4
